state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Washington,female,Bachelor,236,534.86,51236,66,1/2/00,Special Auto,Four-Door Car,159.636956
Arizona,Male,College,572,076.51,41770,72,1/0/00,Personal Auto,Four-Door Car,476.156957
Oregon,Male,College,703,553.41,51236,101,1/0/00,Corporate Auto,Four-Door Car,727.2
California,Male,College,263,697.77,31911,67,1/0/00,Personal Auto,Four-Door Car,321.6
Nevada,Male,Bachelor,539,583.20,70051,68,1/0/00,Corporate Auto,Four-Door Car,42.078345
Oregon,Male,College,838,263.01,19683,117,1/1/00,Personal Auto,Sports Car,561.6
Washington,Female,College,3,116,174.52,30916,112,1/0/00,Personal Auto,SUV,200.11606
Oregon,Female,Bachelor,288,774.23,51236,80,1/0/00,Personal Auto,Four-Door Car,676.944023
Washington,Male,College,742,584.53,84302,62,1/0/00,Personal Auto,Four-Door Car,76.609295
California,Male,Bachelor,2,558,572.78,51236,116,1/0/00,Corporate Auto,SUV,830.623064
Oregon,Male,College,1,027,260.82,60145,132,1/0/00,Personal Auto,SUV,580.473259
Oregon,Female,Bachelor,437,636.36,63774,111,1/0/00,Personal Auto,Four-Door Car,60.036683
California,Female,Bachelor,531,889.66,25134,67,1/0/00,Corporate Auto,Four-Door Car,321.6
Oregon,Male,Bachelor,471,976.22,37057,61,1/1/00,Personal Auto,Four-Door Car,47.53101
Oregon,Female,College,442,803.16,58577,110,1/0/00,Personal Auto,SUV,303.872752
California,Male,College,587,917.61,85857,73,1/0/00,Corporate Auto,Four-Door Car,100.620067
Oregon,Female,Doctorate,941,690.85,70602,116,1/0/00,Personal Auto,SUV,481.339891
Oregon,Female,Master,828,815.56,33816,106,1/2/00,Corporate Auto,Four-Door Car,508.8
Oregon,Male,Bachelor,3,265,483.83,51236,153,1/0/00,Personal Auto,SUV,1101.6
Oregon,Female,College,471,945.01,89642,121,1/4/00,Corporate Auto,SUV,86.320022
California,Female,Bachelor,390,347.48,60068,98,1/0/00,Personal Auto,Two-Door Car,470.4
California,Female,Bachelor,545,725.97,50044,139,1/0/00,Personal Auto,SUV,667.2
California,Female,Master,272,535.64,36650,69,1/1/00,Personal Auto,Four-Door Car,56.60333
Arizona,Female,College,443,397.37,50653,110,1/0/00,Corporate Auto,SUV,262.865172
Arizona,Female,Doctorate,533,246.27,68931,66,1/0/00,Personal Auto,Four-Door Car,309.577946
Oregon,Male,Bachelor,231,509.50,51236,73,1/1/00,Corporate Auto,Four-Door Car,350.4
California,Female,College,541,195.37,51236,73,1/0/00,Personal Auto,Four-Door Car,365.364581
California,Male,Bachelor,958,733.23,39266,80,1/0/00,Personal Auto,Four-Door Car,384
California,Male,College,2,210,350.72,51236,102,1/0/00,Personal Auto,SUV,489.6
Nevada,Female,College,976,494.53,51236,98,1/1/00,Personal Auto,Four-Door Car,705.6
Nevada,Female,Bachelor,256,715.15,40864,65,1/0/00,Corporate Auto,Four-Door Car,9.51528
Oregon,Female,College,265,062.28,39035,68,1/0/00,Personal Auto,Four-Door Car,244.564334
California,Male,Bachelor,1,126,436.33,34923,98,1/0/00,Personal Auto,Two-Door Car,639.105556
California,Male,College,216,852.35,51236,63,1/0/00,Personal Auto,Four-Door Car,453.6
California,Female,College,861,066.75,51236,111,1/0/00,Corporate Auto,SUV,532.8
California,Female,College,283,464.62,24506,71,1/0/00,Personal Auto,Two-Door Car,511.2
Oregon,Male,College,893,013.97,51236,82,1/0/00,Personal Auto,Four-Door Car,554.522969
Arizona,Female,College,553,638.70,52220,70,1/1/00,Personal Auto,Four-Door Car,336
Arizona,Male,College,284,085.43,51236,74,1/0/00,Personal Auto,Two-Door Car,402.449823
California,Male,College,808,288.10,53554,67,1/0/00,Personal Auto,Four-Door Car,327.020539
California,Male,Bachelor,525,473.43,34476,67,1/1/00,Corporate Auto,Four-Door Car,5.3953
Arizona,Female,Bachelor,511,623.76,51236,70,1/0/00,Personal Auto,Four-Door Car,131.401291
California,Male,College,303,464.70,68205,76,1/0/00,Personal Auto,Two-Door Car,99.382943
California,female,College,802,489.99,51236,119,1/1/00,Personal Auto,SUV,856.8
California,Male,College,1,821,114.32,53690,154,1/0/00,Personal Auto,SUV,739.2
Oregon,Male,College,512,156.33,51236,72,1/0/00,Personal Auto,Four-Door Car,518.4
California,female,College,215,017.86,51236,61,1/0/00,Personal Auto,Four-Door Car,292.8
Nevada,female,Bachelor,756,282.40,51236,73,1/0/00,Personal Auto,Four-Door Car,350.4
Oregon,Male,College,538,585.32,29664,71,1/0/00,Personal Auto,Four-Door Car,340.8
Washington,Female,Doctorate,267,805.83,72450,66,1/0/00,Corporate Auto,Four-Door Car,84.218363
Nevada,female,Bachelor,942,256.79,47272,79,1/3/00,Personal Auto,Four-Door Car,64.546877
Oregon,female,College,360,586.03,21585,92,1/0/00,Corporate Auto,Four-Door Car,441.6
California,female,College,776,259.06,23827,106,1/2/00,Personal Auto,Four-Door Car,37.910623
Arizona,female,College,2,344,490.05,69906,74,1/2/00,Corporate Auto,Four-Door Car,202.860399
California,female,College,255,817.82,51236,72,1/0/00,Corporate Auto,Four-Door Car,345.6
Washington,Male,Master,265,438.10,73196,66,1/1/00,Personal Auto,Four-Door Car,85.809817
Washington,Male,Bachelor,254,978.61,72217,6464,1/0/00,Personal Auto,Four-Door Car,91.146661
California,Male,College,296,959.33,46131,74,1/0/00,Personal Auto,Two-Door Car,355.2
Oregon,female,Master,436,312.46,54514,109,1/3/00,Personal Auto,SUV,286.234931
California,female,College,588,430.86,51236,161,1/0/00,Personal Auto,SUV,1159.2
Nevada,female,College,527,219.16,96668,66,1/0/00,Personal Auto,Four-Door Car,316.8
California,Male,Doctorate,550,989.57,78879,69,1/1/00,Personal Auto,Four-Door Car,466.570791
Nevada,Male,College,1,631,368.35,51236,69,1/0/00,Personal Auto,Four-Door Car,331.2
Arizona,female,Bachelor,567,805.02,51236,76,1/0/00,Personal Auto,Four-Door Car,364.8
California,female,Bachelor,1,210,120.88,51236,112,1/0/00,Personal Auto,Sports Car,1252.406235
Oregon,Male,Bachelor,245,357.08,29735,69,1/0/00,Personal Auto,Four-Door Car,331.2
California,Male,College,507,566.27,23082,65,1/0/00,Special Auto,Four-Door Car,312
Arizona,Male,Bachelor,321,497.94,53984,80,1/0/00,Corporate Auto,Four-Door Car,421.484456
California,female,College,1,227,534.31,52135,156,1/0/00,Personal Auto,SUV,430.505942
California,female,College,272,221.07,17576,71,1/0/00,Corporate Auto,Four-Door Car,398.502948
Oregon,female,Bachelor,245,744.09,29486,62,1/0/00,Personal Auto,Four-Door Car,7.646763
Oregon,female,Master,355,484.53,58557,88,1/0/00,Corporate Auto,Four-Door Car,55.510526
California,Male,Bachelor,492,954.97,25632,63,1/0/00,Personal Auto,Two-Door Car,351.270869
California,female,College,803,645.03,51236,112,1/0/00,Personal Auto,Sports Car,806.4
Arizona,Male,Bachelor,427,691.53,18768,68,1/3/00,Corporate Auto,Four-Door Car,647.454583
California,female,Bachelor,3,347,334.95,33190,106,1/0/00,Personal Auto,SUV,508.8
Oregon,female,Master,596,058.14,47945,74,1/0/00,Personal Auto,Two-Door Car,128.43823
Arizona,Male,College,4,479,546.94,58778,126,1/0/00,Special Auto,SUV,302.033971
California,female,College,383,211.81,15192,100,1/0/00,Personal Auto,SUV,480
California,female,Bachelor,683,793.26,51859,171,1/0/00,Personal Auto,SUV,1003.160633
Nevada,female,College,528,526.82,23422,72,1/0/00,Personal Auto,Two-Door Car,518.4
California,female,College,309,651.12,21604,79,1/0/00,Corporate Auto,Four-Door Car,379.2
Arizona,Male,College,358,971.07,79298,90,1/0/00,Personal Auto,Four-Door Car,244.362072
Arizona,female,Bachelor,258,240.85,76731,64,1/0/00,Special Auto,Four-Door Car,201.455005
Washington,Male,College,340,391.94,38460,88,1/1/00,Personal Auto,Four-Door Car,91.55098
Arizona,Female,College,1,357,567.60,48534,115,1/1/00,Personal Auto,SUV,552
Washington,Male,Doctorate,343,613.43,30817,88,1/0/00,Corporate Auto,Four-Door Car,91.834668
Oregon,Female,College,2,868,582.79,48412,104,1/0/00,Personal Auto,SUV,707.430832
Washington,Male,Bachelor,450,267.97,68798,114,1/0/00,Personal Auto,SUV,92.915251
Oregon,Male,Bachelor,618,311.15,23712,85,1/0/00,Personal Auto,Four-Door Car,376.126419
California,Male,College,387,364.70,28142,105,1/0/00,Personal Auto,Sports Car,701.708239
California,Female,Master,1,892,933.06,72196,68,1/0/00,Personal Auto,Four-Door Car,152.184244
California,Male,Master,555,329.58,68197,69,1/0/00,Personal Auto,Four-Door Car,176.819414
California,Male,Bachelor,501,125.92,75248,63,1/0/00,Corporate Auto,Four-Door Car,104.454624
California,Female,College,1,044,244.63,51236,98,1/0/00,Personal Auto,Four-Door Car,941.718054
Nevada,Male,Bachelor,219,961.78,51236,65,1/1/00,Personal Auto,Two-Door Car,468
Washington,female,Master,512,317.09,89879,63,1/0/00,Personal Auto,Two-Door Car,94.030308
Oregon,Male,College,748,431.05,46998,96,1/0/00,Corporate Auto,Four-Door Car,460.8
Oregon,Male,Bachelor,261,302.31,57099,67,1/0/00,Personal Auto,Two-Door Car,67.859881
Arizona,Female,Bachelor,908,063.97,33897,114,1/0/00,Corporate Auto,SUV,539.843003
Nevada,Female,College,1,377,097.62,59207,116,1/0/00,Personal Auto,Four-Door Car,556.8
Oregon,Male,College,287,682.29,40171,73,1/0/00,Personal Auto,Four-Door Car,350.4
Washington,Male,Doctorate,540,891.15,80192,67,1/0/00,Personal Auto,Four-Door Car,95.193157
Washington,Male,College,677,030.68,74422,85,1/1/00,Personal Auto,Four-Door Car,95.338505
Oregon,Male,College,2,414,387.56,51236,87,1/0/00,Special Auto,Four-Door Car,626.4
Arizona,Female,College,353,805.95,51236,67,1/5/00,Personal Auto,Four-Door Car,321.6
Nevada,Female,Bachelor,2,909,123.94,34226,244,1/0/00,Personal Auto,Luxury SUV,494.395024
California,Female,College,1,983,420.12,65989,123,1/1/00,Personal Auto,SUV,115.545086
Oregon,Male,College,473,136.70,30686,61,1/0/00,Corporate Auto,Four-Door Car,19.938981
California,Female,Master,3,553,784.60,51236,113,1/0/00,Personal Auto,Sports Car,799.926741
Arizona,Female,College,3,461,137.90,20090,109,1/0/00,Personal Auto,Sports Car,523.2
California,Male,College,2,021,630.88,51236,183,1/0/00,Personal Auto,Luxury SUV,878.4
Oregon,Male,College,1,397,651.93,77094,176,1/0/00,Personal Auto,SUV,444.470676
California,Female,College,590,408.82,97413,73,1/0/00,Personal Auto,Four-Door Car,268.819985
Oregon,Female,Master,559,583.50,79189,69,1/0/00,Corporate Auto,Four-Door Car,331.2
California,Female,College,229,430.36,51236,62,1/0/00,Personal Auto,Two-Door Car,297.6
Arizona,Female,College,627,391.19,18577,86,1/0/00,Personal Auto,Four-Door Car,412.8
Oregon,Female,College,372,672.80,51236,112,1/1/00,Special Auto,Sports Car,806.4
Washington,Male,College,265,671.31,62777,67,1/0/00,Personal Auto,Two-Door Car,101.288069
Oregon,Male,Bachelor,511,068.08,51236,74,1/0/00,Corporate Auto,Four-Door Car,532.8
Nevada,Male,College,712,659.65,17483,183,1/0/00,Personal Auto,Luxury Car,1317.6
Oregon,Male,Master,460,163.41,84394,114,1/0/00,Personal Auto,SUV,691.412378
Oregon,Male,College,915,523.97,51236,127,1/0/00,Personal Auto,Sports Car,804.811859
Oregon,Female,College,1,480,805.62,41440,62,1/1/00,Personal Auto,Four-Door Car,297.6
Arizona,Male,College,890,167.84,51236,136,1/1/00,Personal Auto,Sports Car,1090.86434
Oregon,Female,College,573,459.82,98132,71,1/0/00,Personal Auto,Two-Door Car,50.587035
Oregon,Female,College,417,769.70,51236,112,1/0/00,Personal Auto,Four-Door Car,537.6
California,Male,Bachelor,2,777,628.91,88220,230,1/0/00,Personal Auto,Luxury Car,151.528482
Arizona,Female,Master,1,036,434.75,58327,129,1/0/00,Personal Auto,SUV,347.075948
Oregon,Male,Master,785,190.14,25950,66,1/0/00,Personal Auto,Two-Door Car,271.697529
Oregon,Male,College,477,294.38,20993,133,1/0/00,Corporate Auto,SUV,638.4
Oregon,Male,College,1,422,650.49,65726,177,1/0/00,Corporate Auto,SUV,849.6
Washington,Male,Bachelor,287,543.24,84768,72,1/0/00,Personal Auto,Two-Door Car,110.484661
Washington,Female,Bachelor,504,129.96,36234,63,1/0/00,Personal Auto,Four-Door Car,113.534474
California,Male,College,436,293.12,58842,110,1/0/00,Personal Auto,Four-Door Car,528
Oregon,Female,Master,962,452.44,25629,124,1/2/00,Corporate Auto,Sports Car,595.2
Washington,Female,College,2,191,440.55,77311,181,1/0/00,Personal Auto,SUV,113.609508
California,Male,Doctorate,694,842.22,51236,196,1/2/00,Personal Auto,Luxury SUV,1337.063487
Washington,Male,College,247,152.84,95697,61,1/0/00,Personal Auto,Two-Door Car,114.273025
Oregon,Female,Bachelor,2,190,391.36,22254,79,1/0/00,Personal Auto,Four-Door Car,125.194389
Nevada,Male,College,902,882.14,65974,113,1/0/00,Personal Auto,Sports Car,235.220971
Oregon,Female,College,530,375.95,51236,76,1/0/00,Personal Auto,Four-Door Car,395.34111
Washington,Male,College,2,070,825.88,92079,65,1/1/00,Corporate Auto,Four-Door Car,114.798771
Nevada,Male,College,512,376.81,51236,74,1/0/00,Personal Auto,Two-Door Car,772.798511
Oregon,Male,College,949,234.30,51236,132,1/0/00,Personal Auto,SUV,633.6
Oregon,Female,College,820,486.32,51236,73,1/0/00,Personal Auto,Four-Door Car,350.4
Arizona,Female,College,987,729.57,67752,131,1/4/00,Personal Auto,Sports Car,168.517149
California,Female,Bachelor,481,500.97,25398,64,1/0/00,Corporate Auto,Four-Door Car,307.2
California,Male,College,627,701.17,51236,88,1/0/00,Personal Auto,Four-Door Car,633.6
California,Male,College,826,063.98,33321,105,1/0/00,Special Auto,SUV,504
Nevada,Male,Bachelor,254,945.00,51236,78,1/0/00,Corporate Auto,Four-Door Car,845.654042
Washington,NA,College,1,131,808.98,38923,99,1/2/00,Personal Auto,Four-Door Car,115.728852
Oregon,Female,Bachelor,380,392.18,20325,100,1/0/00,Personal Auto,Sports Car,668.29397
Oregon,Male,Bachelor,863,540.35,13129,117,1/0/00,Personal Auto,SUV,700.901632
Oregon,Female,College,551,055.90,51236,73,1/0/00,Personal Auto,Four-Door Car,525.6
Nevada,Male,Master,358,588.41,49080,91,1/0/00,Corporate Auto,Four-Door Car,25.299
Nevada,Male,College,488,925.28,42536,63,1/0/00,Personal Auto,Four-Door Car,375.330097
Oregon,Male,Bachelor,275,694.17,29926,74,1/0/00,Corporate Auto,Four-Door Car,418.233667
Nevada,Male,Doctorate,328,954.74,51236,86,1/0/00,Corporate Auto,Two-Door Car,398.240791
California,Female,Bachelor,1,093,717.85,21450,138,1/0/00,Personal Auto,Sports Car,938.513425
California,Male,College,737,556.79,33345,65,1/0/00,Corporate Auto,Four-Door Car,338.619869
California,Female,Bachelor,1,011,077.82,15752,90,1/0/00,Corporate Auto,Two-Door Car,339.344531
Oregon,Female,College,511,941.43,40169,65,1/1/00,Personal Auto,Four-Door Car,302.818833
California,Female,College,853,383.20,26049,113,1/1/00,Personal Auto,SUV,619.165344
Nevada,Male,College,222,476.80,51236,68,1/0/00,Personal Auto,Four-Door Car,326.4
Arizona,Male,Doctorate,804,280.38,55411,100,1/0/00,Personal Auto,Sports Car,259.561195
Oregon,Male,College,255,443.71,12459,70,1/0/00,Personal Auto,Four-Door Car,336
Oregon,Male,Bachelor,1,807,394.00,64620,76,1/1/00,Personal Auto,Two-Door Car,364.8
California,Male,Bachelor,243,050.66,83140,61,1/0/00,Corporate Auto,Four-Door Car,179.161843
Oregon,Female,Bachelor,316,765.84,51236,92,1/0/00,Corporate Auto,Four-Door Car,662.4
Arizona,Female,Bachelor,546,560.40,54422,68,1/0/00,Corporate Auto,Four-Door Car,75.501852
California,Male,College,1,035,751.42,68309,131,1/0/00,Corporate Auto,SUV,306.983596
California,Male,College,253,781.39,56621,65,1/2/00,Personal Auto,Four-Door Car,84.026848
Arizona,Female,College,282,194.72,38977,70,1/0/00,Special Auto,Four-Door Car,139.489926
Arizona,Male,Bachelor,775,712.81,51236,111,1/0/00,Corporate Auto,Two-Door Car,607.4459
Arizona,Male,College,407,913.27,51236,114,1/0/00,Corporate Auto,Two-Door Car,631.124372
Arizona,Female,College,595,554.46,51236,83,1/0/00,Personal Auto,Four-Door Car,628.023494
Oregon,Female,Bachelor,1,415,861.36,83235,70,1/0/00,Personal Auto,Two-Door Car,336
Nevada,Male,College,848,723.80,51236,74,1/0/00,Personal Auto,Two-Door Car,426.655599
Arizona,Male,College,628,547.69,32390,80,1/0/00,Personal Auto,Four-Door Car,91.417923
Oregon,Female,College,1,147,348.15,66538,95,1/0/00,Personal Auto,Two-Door Car,317.844812
Washington,Female,College,494,263.06,23285,65,1/0/00,Personal Auto,Two-Door Car,118.446235
Oregon,Male,Bachelor,2,359,468.02,76358,66,1/0/00,Personal Auto,Four-Door Car,86.461582
Washington,Male,Master,257,250.66,21104,66,1/0/00,Personal Auto,Four-Door Car,118.454974
Arizona,Female,College,538,089.86,55350,67,1/0/00,Personal Auto,Four-Door Car,321.6
California,Female,College,477,055.09,12964,65,1/0/00,Personal Auto,Two-Door Car,362.774545
Arizona,Female,Master,675,665.14,33288,86,1/2/00,Personal Auto,Four-Door Car,221.856184
Arizona,Female,College,593,601.18,51236,84,1/0/00,Personal Auto,Four-Door Car,980.169081
Arizona,Female,Bachelor,357,076.05,56168,88,1/0/00,Personal Auto,Four-Door Car,614.675906
California,Male,College,601,996.05,51236,92,1/0/00,Personal Auto,Four-Door Car,662.4
Oregon,Male,College,542,686.40,23105,69,1/0/00,Personal Auto,Two-Door Car,331.2
Oregon,Female,Master,273,031.38,36218,68,1/0/00,Personal Auto,Four-Door Car,145.252168
California,Female,College,498,268.14,52275,62,1/0/00,Corporate Auto,Four-Door Car,374.240783
Oregon,Female,College,876,926.68,49665,74,1/0/00,Personal Auto,Four-Door Car,355.2
Nevada,Male,College,422,061.35,32471,110,1/0/00,Personal Auto,Two-Door Car,528
Arizona,Male,College,1,153,750.51,51236,86,1/1/00,Corporate Auto,Two-Door Car,619.2
California,Female,Master,588,718.20,62773,73,1/0/00,Personal Auto,Four-Door Car,80.669257
California,Female,College,470,058.38,76694,117,1/0/00,Personal Auto,SUV,561.6
Oregon,Male,College,1,096,395.72,55687,276,1/0/00,Personal Auto,Luxury SUV,1324.8
Arizona,Female,College,252,317.12,51236,70,1/0/00,Personal Auto,Four-Door Car,504
Nevada,Male,Doctorate,375,780.47,36633,96,1/1/00,Personal Auto,Four-Door Car,460.8
Oregon,Male,College,1,294,173.35,77060,106,1/0/00,Personal Auto,SUV,468.566133
Nevada,Female,Bachelor,376,446.51,92600,94,1/0/00,Corporate Auto,Two-Door Car,842.43785
California,Male,College,688,955.70,51236,66,1/0/00,Personal Auto,Four-Door Car,475.2
Nevada,Male,College,362,345.42,51236,111,1/2/00,Corporate Auto,SUV,1171.93117
Arizona,Male,College,758,211.38,64801,64,1/0/00,Personal Auto,Four-Door Car,268.471802
Oregon,Female,College,827,774.56,45257,103,1/0/00,Corporate Auto,Two-Door Car,494.4
California,Male,College,257,645.56,26854,66,1/0/00,Personal Auto,Four-Door Car,475.2
Oregon,Female,College,820,538.79,85840,102,1/2/00,Corporate Auto,SUV,138.722385
Oregon,Female,Doctorate,1,958,246.89,26463,72,1/0/00,Corporate Auto,Four-Door Car,345.6
Nevada,Female,Bachelor,648,152.66,30689,81,1/0/00,Personal Auto,Four-Door Car,467.24802
Oregon,Male,College,259,931.09,29590,66,1/0/00,Corporate Auto,Two-Door Car,467.503236
Oregon,Female,College,983,033.76,25965,253,1/0/00,Personal Auto,Luxury SUV,1214.4
Oregon,Male,Bachelor,1,044,265.14,17269,139,1/0/00,Personal Auto,SUV,667.2
Oregon,Male,College,3,605,753.70,90330,137,1/3/00,Corporate Auto,Sports Car,192.085299
California,Female,College,847,003.68,51236,113,1/0/00,Corporate Auto,SUV,619.973889
California,Female,College,827,878.65,51236,110,1/0/00,Personal Auto,Four-Door Car,1002.782553
California,Female,College,478,893.26,51236,67,1/1/00,Personal Auto,Two-Door Car,321.6
Arizona,Female,Bachelor,308,799.99,18558,80,1/0/00,Special Auto,Four-Door Car,384
Arizona,Male,Bachelor,444,373.62,46384,113,1/0/00,Corporate Auto,Four-Door Car,251.774574
Oregon,Female,College,798,408.65,51236,72,1/0/00,Personal Auto,Two-Door Car,866.208321
Oregon,Female,College,718,097.10,42303,180,1/0/00,Personal Auto,Luxury SUV,1210.920949
California,Female,Bachelor,1,565,603.43,71731,130,1/0/00,Corporate Auto,SUV,599.648466
Oregon,Male,College,578,018.22,51066,74,1/0/00,Corporate Auto,Four-Door Car,787.993313
California,Male,College,2,071,494.04,51236,203,1/0/00,Corporate Auto,Luxury Car,2027.724442
Nevada,Female,Bachelor,533,735.24,51236,86,1/3/00,Personal Auto,Four-Door Car,619.2
Arizona,Male,College,505,082.62,51236,69,1/0/00,Personal Auto,Two-Door Car,72.852047
Arizona,Female,College,511,662.40,26173,68,1/1/00,Corporate Auto,Four-Door Car,449.819671
Oregon,Male,Bachelor,726,873.70,24445,63,1/0/00,Personal Auto,Two-Door Car,302.4
Oregon,Male,College,261,661.39,72302,66,1/0/00,Personal Auto,Two-Door Car,316.8
Oregon,Male,College,373,843.62,27208,102,1/0/00,Personal Auto,SUV,489.6
California,Female,Master,272,535.64,36650,69,1/1/00,Special Auto,Four-Door Car,56.60333
Arizona,Male,College,545,386.12,30855,68,1/0/00,Corporate Auto,Four-Door Car,259.060862
Arizona,Female,Bachelor,684,615.03,51236,95,1/0/00,Personal Auto,Two-Door Car,456
Oregon,Male,Master,617,291.42,99960,76,1/0/00,Corporate Auto,Four-Door Car,364.8
Arizona,Female,Bachelor,1,034,632.45,51236,98,1/0/00,Personal Auto,Four-Door Car,470.4
Nevada,Female,Bachelor,699,700.86,55873,88,1/0/00,Personal Auto,Four-Door Car,299.356083
Arizona,Female,College,419,625.77,18052,111,1/0/00,Personal Auto,Four-Door Car,699.1679
Oregon,Female,College,785,810.98,28937,104,1/2/00,Personal Auto,SUV,117.959654
Oregon,Female,College,606,434.40,51236,86,1/0/00,Personal Auto,Four-Door Car,545.240341
Arizona,Female,Bachelor,323,912.47,16061,88,1/0/00,Personal Auto,Four-Door Car,633.6
Oregon,Male,Doctorate,897,064.73,12829,118,1/0/00,Personal Auto,SUV,328.231432
Oregon,Female,Master,592,311.72,92163,73,1/0/00,Personal Auto,Two-Door Car,66.568642
Oregon,Male,College,3,585,059.94,17588,192,1/0/00,Personal Auto,Luxury Car,1382.4
Washington,Female,Bachelor,870,984.53,41546,111,1/0/00,Corporate Auto,Four-Door Car,121.306839
Arizona,Male,College,1,330,933.52,51236,127,1/0/00,Personal Auto,SUV,609.6
California,Male,College,452,850.49,70340,113,1/0/00,Special Auto,Four-Door Car,542.4
Oregon,Female,College,279,190.65,51236,74,1/0/00,Personal Auto,Four-Door Car,532.8
Washington,Male,College,443,441.12,34549,111,1/0/00,Personal Auto,Four-Door Car,125.933005
Arizona,Male,College,799,600.75,93459,99,1/0/00,Personal Auto,Four-Door Car,655.41333
Arizona,Male,Bachelor,512,973.90,86148,65,1/2/00,Personal Auto,Four-Door Car,312
California,Female,Bachelor,569,717.52,27048,72,1/0/00,Corporate Auto,Four-Door Car,345.6
Oregon,Female,College,921,713.06,73259,115,1/0/00,Personal Auto,SUV,673.34265
Oregon,Female,College,1,020,892.76,35482,129,1/0/00,Corporate Auto,SUV,619.2
Oregon,Female,College,450,540.58,67801,115,1/1/00,Personal Auto,SUV,23.810491
California,Male,College,310,756.86,51236,94,1/4/00,Personal Auto,Two-Door Car,451.2
Arizona,Male,College,552,866.50,16042,73,1/0/00,Personal Auto,Two-Door Car,350.4
California,Male,College,504,586.67,28056,64,1/1/00,Personal Auto,Four-Door Car,307.2
California,Male,College,296,272.25,16495,85,1/3/00,Corporate Auto,Four-Door Car,408
California,Female,Master,866,595.64,41163,108,1/0/00,Corporate Auto,SUV,231.922173
Arizona,Female,College,1,141,344.12,51236,161,1/1/00,Personal Auto,Sports Car,772.8
California,Male,Bachelor,1,548,843.20,33799,109,1/3/00,Corporate Auto,SUV,664.980242
Washington,Female,College,886,114.95,90125,110,1/0/00,Corporate Auto,SUV,128.645946
Oregon,Female,Bachelor,593,474.15,87747,147,1/1/00,Personal Auto,SUV,46.492039
Nevada,Male,College,354,323.21,35695,90,1/0/00,Personal Auto,Four-Door Car,432
California,Male,Master,349,002.83,90985,87,1/0/00,Personal Auto,Four-Door Car,78.085149
California,Female,College,368,309.99,51236,101,1/0/00,Corporate Auto,Sports Car,564.466556
California,Male,College,598,977.39,66839,154,1/0/00,Personal Auto,Sports Car,739.2
California,Female,College,1,250,084.30,51236,165,1/0/00,Personal Auto,SUV,792
Oregon,Female,Bachelor,860,915.82,79090,107,1/0/00,Corporate Auto,SUV,289.040734
Oregon,Male,Bachelor,249,745.51,24825,64,1/0/00,Personal Auto,Two-Door Car,155.938593
California,Male,College,701,917.72,26806,63,1/0/00,Personal Auto,Four-Door Car,302.4
Oregon,Female,College,538,792.63,56835,67,1/0/00,Personal Auto,Two-Door Car,326.549425
Oregon,Female,Bachelor,616,555.75,51236,88,1/0/00,Special Auto,Two-Door Car,653.65668
California,Male,Bachelor,273,020.29,46135,69,1/0/00,Personal Auto,Four-Door Car,103.935601
Arizona,Female,Bachelor,516,211.69,51236,73,1/0/00,Personal Auto,Four-Door Car,809.532341
Oregon,Female,College,793,706.48,22862,67,1/0/00,Personal Auto,Two-Door Car,321.6
Oregon,Female,College,860,815.72,21450,110,1/2/00,Personal Auto,Sports Car,528
Oregon,Male,Bachelor,263,254.58,95854,65,1/0/00,Personal Auto,Two-Door Car,312
Oregon,Female,Bachelor,778,500.42,44897,99,1/1/00,Personal Auto,Four-Door Car,580.72531
Washington,Male,College,2,163,983.86,64455,108,1/0/00,Personal Auto,SUV,133.735395
Oregon,Female,Master,498,082.50,53265,62,1/0/00,Personal Auto,Four-Door Car,238.005074
Arizona,Female,College,745,723.78,51236,198,1/1/00,Personal Auto,Luxury Car,1577.674417
Washington,Male,Master,1,064,093.93,50450,90,1/0/00,Personal Auto,Two-Door Car,135.892444
California,Female,College,686,250.83,54780,88,1/3/00,Personal Auto,Four-Door Car,135.26125
Nevada,Male,College,904,898.34,51236,119,1/0/00,Personal Auto,Sports Car,571.2
California,Male,Bachelor,554,803.19,67798,69,1/0/00,Personal Auto,Four-Door Car,331.2
Oregon,Male,Bachelor,831,268.16,21442,118,1/0/00,Personal Auto,SUV,566.4
California,Male,Bachelor,238,998.10,27615,62,1/1/00,Personal Auto,Four-Door Car,297.6
California,Female,Bachelor,1,017,971.70,14290,271,1/0/00,Personal Auto,Luxury SUV,1300.8
Nevada,Male,College,529,574.17,50200,135,1/0/00,Personal Auto,Sports Car,637.063458
Arizona,Female,Doctorate,383,960.61,51236,112,1/2/00,Personal Auto,SUV,537.6
California,Female,College,373,150.46,51236,96,1/0/00,Personal Auto,Four-Door Car,460.8
California,Female,Master,277,890.37,73570,70,1/1/00,Special Auto,Two-Door Car,75.936096
Oregon,Female,College,401,654.20,51236,111,1/0/00,Personal Auto,SUV,799.2
Washington,Male,Doctorate,493,094.93,70412,61,1/0/00,Corporate Auto,Two-Door Car,136.291083
Nevada,Male,Doctorate,249,131.70,36631,62,1/0/00,Personal Auto,Four-Door Car,67.530904
Oregon,Female,College,290,887.59,35895,73,1/0/00,Personal Auto,Four-Door Car,312.921256
Arizona,Female,College,428,294.80,40864,109,1/1/00,Personal Auto,SUV,166.937747
Oregon,Male,College,834,162.37,51236,118,1/0/00,Personal Auto,Four-Door Car,566.4
